Host Name,IP Address,Temperature (F),Timestamp,,,
Bay03_Proj2,10.51.0.48,82.4,2024-08-23 14:24:34,,,
Bay03_Proj3,10.51.0.49,69.8,2024-08-23 14:24:35,,,
Bay03_Proj4,10.51.0.50,77,2024-08-23 14:24:36,,,
Bay04_Proj1,10.51.0.61,66.2,2024-08-23 14:24:36,,,
Bay04_Proj2,10.51.0.62,69.8,2024-08-23 14:24:37,,,
Bay04_Proj3,10.51.0.63,71.6,2024-08-23 14:24:37,,,
Bay04_Proj4,10.51.0.64,69.8,2024-08-23 14:24:38,,,
Bay05_Proj1,10.51.0.75,73.4,2024-08-23 14:24:38,,,
Bay05_Proj2,10.51.0.76,75.2,2024-08-23 14:24:39,,,
Bay05_Proj3,10.51.0.77,71.6,2024-08-23 14:24:39,,,
Bay05_Proj4,10.51.0.78,75.2,2024-08-23 14:24:40,,,
Bay06_Proj1,10.51.0.89,66.2,2024-08-23 14:24:40,,,
Bay06_Proj2,10.51.0.90,73.4,2024-08-23 14:24:41,,,
Bay06_Proj3,10.51.0.91,69.8,2024-08-23 14:24:41,,,
Bay06_Proj4,10.51.0.92,68,2024-08-23 14:24:42,,,
Bay07_Proj1,10.51.0.103,68,2024-08-23 14:24:42,,,
Bay07_Proj2,10.51.0.104,73.4,2024-08-23 14:24:43,,,
Bay07_Proj3,10.51.0.105,73.4,2024-08-23 14:24:43,,,
Bay07_Proj4,10.51.0.106,77,2024-08-23 14:24:44,,,
Bay08_Proj1,10.51.0.117,62.6,2024-08-23 14:24:44,,,
Bay08_Proj2,10.51.0.118,75.2,2024-08-23 14:24:45,,,
Bay08_Proj3,10.51.0.119,68,2024-08-23 14:24:45,,,
Bay08_Proj4,10.51.0.120,64.4,2024-08-23 14:24:46,,,
Bay01_Proj1,10.51.0.19,75.2,2024-08-23 14:26:26,,,
Bay01_Proj2,10.51.0.20,75.2,2024-08-23 14:26:26,,,
Bay01_Proj3,10.51.0.21,77,2024-08-23 14:26:27,,,
Bay01_Proj4,10.51.0.22,80.6,2024-08-23 14:26:27,,,
Bay02_Proj1,10.51.0.33,69.8,2024-08-23 14:26:28,,,
Bay02_Proj2,10.51.0.34,68,2024-08-23 14:26:28,,,
Bay02_Proj3,10.51.0.35,71.6,2024-08-23 14:26:29,,,
Bay02_Proj4,10.51.0.36,75.2,2024-08-23 14:26:29,,,
Bay03_Proj1,10.51.0.47,69.8,2024-08-23 14:26:30,,,
Bay03_Proj2,10.51.0.48,82.4,2024-08-23 14:26:30,,,
Bay03_Proj3,10.51.0.49,69.8,2024-08-23 14:26:31,,,
Bay03_Proj4,10.51.0.50,77,2024-08-23 14:26:31,,,
Bay04_Proj1,10.51.0.61,66.2,2024-08-23 14:26:32,,,
Bay04_Proj2,10.51.0.62,69.8,2024-08-23 14:26:32,,,
Bay04_Proj3,10.51.0.63,71.6,2024-08-23 14:26:33,,,
Bay04_Proj4,10.51.0.64,69.8,2024-08-23 14:26:33,,,
Bay05_Proj1,10.51.0.75,73.4,2024-08-23 14:26:34,,,
Bay05_Proj2,10.51.0.76,75.2,2024-08-23 14:26:34,,,
Bay05_Proj3,10.51.0.77,71.6,2024-08-23 14:26:35,,,
Bay05_Proj4,10.51.0.78,75.2,2024-08-23 14:26:35,,,
Bay06_Proj1,10.51.0.89,66.2,2024-08-23 14:26:36,,,
Bay06_Proj2,10.51.0.90,73.4,2024-08-23 14:26:37,,,
Bay06_Proj3,10.51.0.91,69.8,2024-08-23 14:26:37,,,
Bay06_Proj4,10.51.0.92,68,2024-08-23 14:26:38,,,
Bay07_Proj1,10.51.0.103,68,2024-08-23 14:26:38,,,
Bay07_Proj2,10.51.0.104,73.4,2024-08-23 14:26:39,,,
Bay07_Proj3,10.51.0.105,73.4,2024-08-23 14:26:39,,,
Bay07_Proj4,10.51.0.106,77,2024-08-23 14:26:40,,,
Bay08_Proj1,10.51.0.117,62.6,2024-08-23 14:26:40,,,
Bay08_Proj2,10.51.0.118,75.2,2024-08-23 14:26:41,,,
Bay08_Proj3,10.51.0.119,68,2024-08-23 14:26:41,,,
Bay08_Proj4,10.51.0.120,64.4,2024-08-23 14:26:42,,,
Bay01_Proj1,10.51.0.19,75.2,2024-08-23 15:32:45,,,
Bay01_Proj2,10.51.0.20,75.2,2024-08-23 15:32:45,,,
Bay01_Proj3,10.51.0.21,77,2024-08-23 15:32:46,,,
Bay01_Proj4,10.51.0.22,80.6,2024-08-23 15:32:46,,,
Bay02_Proj1,10.51.0.33,69.8,2024-08-23 15:32:47,,,
Bay02_Proj2,10.51.0.34,68,2024-08-23 15:32:47,,,
Bay02_Proj3,10.51.0.35,71.6,2024-08-23 15:32:48,,,
Bay02_Proj4,10.51.0.36,75.2,2024-08-23 15:32:48,,,
Bay03_Proj1,10.51.0.47,69.8,2024-08-23 15:32:49,,,
Bay03_Proj2,10.51.0.48,82.4,2024-08-23 15:32:49,,,
Bay03_Proj3,10.51.0.49,69.8,2024-08-23 15:32:50,,,
Bay03_Proj4,10.51.0.50,77,2024-08-23 15:32:50,,,
Bay04_Proj1,10.51.0.61,66.2,2024-08-23 15:32:51,,,
Bay04_Proj2,10.51.0.62,69.8,2024-08-23 15:32:51,,,
Bay04_Proj3,10.51.0.63,71.6,2024-08-23 15:32:52,,,
Bay04_Proj4,10.51.0.64,69.8,2024-08-23 15:32:52,,,
Bay05_Proj1,10.51.0.75,73.4,2024-08-23 15:32:53,,,
Bay05_Proj2,10.51.0.76,75.2,2024-08-23 15:32:54,,,
Bay05_Proj3,10.51.0.77,71.6,2024-08-23 15:32:54,,,
Bay05_Proj4,10.51.0.78,75.2,2024-08-23 15:32:55,,,
Bay06_Proj1,10.51.0.89,66.2,2024-08-23 15:32:55,,,
Bay06_Proj2,10.51.0.90,73.4,2024-08-23 15:32:56,,,
Bay06_Proj3,10.51.0.91,69.8,2024-08-23 15:32:56,,,
Bay06_Proj4,10.51.0.92,68,2024-08-23 15:32:57,,,
Bay07_Proj1,10.51.0.103,68,2024-08-23 15:32:57,,,
Bay07_Proj2,10.51.0.104,73.4,2024-08-23 15:32:58,,,
Bay07_Proj3,10.51.0.105,73.4,2024-08-23 15:32:58,,,
Bay07_Proj4,10.51.0.106,77,2024-08-23 15:32:59,,,
Bay08_Proj1,10.51.0.117,62.6,2024-08-23 15:32:59,,,
Bay08_Proj2,10.51.0.118,75.2,2024-08-23 15:33:00,,,
Bay08_Proj3,10.51.0.119,68,2024-08-23 15:33:00,,,
Bay08_Proj4,10.51.0.120,64.4,2024-08-23 15:33:01,,,
Bay01_Proj1,10.51.0.19,75.2,2024-08-Bay01_Proj1,10.51.0.19,77,2024-09-09 01:47:25
Bay01_Proj2,10.51.0.20,80.6,2024-09-09 01:47:26,,,
Bay01_Proj3,10.51.0.21,80.6,2024-09-09 01:47:26,,,
Bay01_Proj4,10.51.0.22,86,2024-09-09 01:47:27,,,
Bay02_Proj1,10.51.0.33,71.6,2024-09-09 01:47:27,,,
Bay02_Proj2,10.51.0.34,68,2024-09-09 01:47:28,,,
Bay02_Proj3,10.51.0.35,71.6,2024-09-09 01:47:29,,,
Bay02_Proj4,10.51.0.36,75.2,2024-09-09 01:47:29,,,
Bay03_Proj1,10.51.0.47,66.2,2024-09-09 01:47:30,,,
Bay03_Proj2,10.51.0.48,78.8,2024-09-09 01:47:30,,,
Bay03_Proj3,10.51.0.49,64.4,2024-09-09 01:47:31,,,
Bay03_Proj4,10.51.0.50,73.4,2024-09-09 01:47:31,,,
Bay04_Proj1,10.51.0.61,66.2,2024-09-09 01:47:32,,,
Bay04_Proj2,10.51.0.62,69.8,2024-09-09 01:47:32,,,
Bay04_Proj3,10.51.0.63,71.6,2024-09-09 01:47:33,,,
Bay04_Proj4,10.51.0.64,69.8,2024-09-09 01:47:33,,,
Bay05_Proj1,10.51.0.75,75.2,2024-09-09 01:47:34,,,
Bay05_Proj2,10.51.0.76,77,2024-09-09 01:47:34,,,
Bay05_Proj3,10.51.0.77,69.8,2024-09-09 01:47:35,,,
Bay05_Proj4,10.51.0.78,75.2,2024-09-09 01:47:36,,,
Bay06_Proj1,10.51.0.89,66.2,2024-09-09 01:47:36,,,
Bay06_Proj2,10.51.0.90,73.4,2024-09-09 01:47:37,,,
Bay06_Proj3,10.51.0.91,69.8,2024-09-09 01:47:37,,,
Bay06_Proj4,10.51.0.92,69.8,2024-09-09 01:47:38,,,
Bay07_Proj1,10.51.0.103,64.4,2024-09-09 01:47:38,,,
Bay07_Proj2,10.51.0.104,69.8,2024-09-09 01:47:39,,,
Bay07_Proj3,10.51.0.105,69.8,2024-09-09 01:47:39,,,
Bay07_Proj4,10.51.0.106,73.4,2024-09-09 01:47:40,,,
Bay08_Proj1,10.51.0.117,62.6,2024-09-09 01:47:40,,,
Bay08_Proj2,10.51.0.118,78.8,2024-09-09 01:47:41,,,
Bay08_Proj3,10.51.0.119,68,2024-09-09 01:47:41,,,
Bay08_Proj4,10.51.0.120,64.4,2024-09-09 01:47:42,,,
Bay01_Proj1,10.51.0.19,78.8,2024-09-09 01:52:43,,,
Bay01_Proj2,10.51.0.20,80.6,2024-09-09 01:52:43,,,
Bay01_Proj3,10.51.0.21,80.6,2024-09-09 01:52:44,,,
Bay01_Proj4,10.51.0.22,86,2024-09-09 01:52:44,,,
Bay02_Proj1,10.51.0.33,71.6,2024-09-09 01:52:45,,,
Bay02_Proj2,10.51.0.34,68,2024-09-09 01:52:45,,,
Bay02_Proj3,10.51.0.35,71.6,2024-09-09 01:52:46,,,
Bay02_Proj4,10.51.0.36,75.2,2024-09-09 01:52:47,,,
Bay03_Proj1,10.51.0.47,66.2,2024-09-09 01:52:47,,,
Bay03_Proj2,10.51.0.48,78.8,2024-09-09 01:52:48,,,
Bay03_Proj3,10.51.0.49,64.4,2024-09-09 01:52:48,,,
Bay03_Proj4,10.51.0.50,73.4,2024-09-09 01:52:49,,,
Bay04_Proj1,10.51.0.61,66.2,2024-09-09 01:52:49,,,
Bay04_Proj2,10.51.0.62,69.8,2024-09-09 01:52:50,,,
Bay04_Proj3,10.51.0.63,71.6,2024-09-09 01:52:50,,,
Bay04_Proj4,10.51.0.64,69.8,2024-09-09 01:52:51,,,
Bay05_Proj1,10.51.0.75,73.4,2024-09-09 01:52:51,,,
Bay05_Proj2,10.51.0.76,77,2024-09-09 01:52:52,,,
Bay05_Proj3,10.51.0.77,69.8,2024-09-09 01:52:52,,,
Bay05_Proj4,10.51.0.78,75.2,2024-09-09 01:52:53,,,
Bay06_Proj1,10.51.0.89,66.2,2024-09-09 01:52:53,,,
Bay06_Proj2,10.51.0.90,73.4,2024-09-09 01:52:54,,,
Bay06_Proj3,10.51.0.91,69.8,2024-09-09 01:52:55,,,
Bay06_Proj4,10.51.0.92,69.8,2024-09-09 01:52:55,,,
Bay07_Proj1,10.51.0.103,64.4,2024-09-09 01:52:56,,,
Bay07_Proj2,10.51.0.104,69.8,2024-09-09 01:52:56,,,
Bay07_Proj3,10.51.0.105,68,2024-09-09 01:52:57,,,
Bay07_Proj4,10.51.0.106,73.4,2024-09-09 01:52:57,,,
Bay08_Proj1,10.51.0.117,62.6,2024-09-09 01:52:58,,,
Bay08_Proj2,10.51.0.118,78.8,2024-09-09 01:52:58,,,
Bay08_Proj3,10.51.0.119,68,2024-09-09 01:52:59,,,
Bay08_Proj4,10.51.0.120,64.4,2024-09-09 01:52:59,,,
Bay01_Proj1,10.51.0.19,77,2024-09-09 01:58:00,,,
Bay01_Proj2,10.51.0.20,80.6,2024-09-09 01:58:01,,,
Bay01_Proj3,10.51.0.21,80.6,2024-09-09 01:58:01,,,
Bay01_Proj4,10.51.0.22,86,2024-09-09 01:58:02,,,
Bay02_Proj1,10.51.0.33,71.6,2024-09-09 01:58:02,,,
Bay02_Proj2,10.51.0.34,68,2024-09-09 01:58:03,,,
Bay02_Proj3,10.51.0.35,71.6,2024-09-09 01:58:03,,,
Bay02_Proj4,10.51.0.36,75.2,2024-09-09 01:58:04,,,
Bay03_Proj1,10.51.0.47,66.2,2024-09-09 01:58:04,,,
Bay03_Proj2,10.51.0.48,78.8,2024-09-09 01:58:05,,,
Bay03_Proj3,10.51.0.49,64.4,2024-09-09 01:58:05,,,
Bay03_Proj4,10.51.0.50,73.4,2024-09-09 01:58:06,,,
Bay04_Proj1,10.51.0.61,66.2,2024-09-09 01:58:06,,,
Bay04_Proj2,10.51.0.62,69.8,2024-09-09 01:58:07,,,
Bay04_Proj3,10.51.0.63,71.6,2024-09-09 01:58:08,,,
Bay04_Proj4,10.51.0.64,69.8,2024-09-09 01:58:08,,,
Bay05_Proj1,10.51.0.75,75.2,2024-09-09 01:58:09,,,
Bay05_Proj2,10.51.0.76,77,2024-09-09 01:58:09,,,
Bay05_Proj3,10.51.0.77,69.8,2024-09-09 01:58:10,,,
Bay05_Proj4,10.51.0.78,75.2,2024-09-09 01:58:10,,,
Bay06_Proj1,10.51.0.89,66.2,2024-09-09 01:58:11,,,
Bay06_Proj2,10.51.0.90,73.4,2024-09-09 01:58:11,,,
Bay06_Proj3,10.51.0.91,69.8,2024-09-09 01:58:12,,,
Bay06_Proj4,10.51.0.92,69.8,2024-09-09 01:58:12,,,
Bay07_Proj1,10.51.0.103,64.4,2024-09-09 01:58:13,,,
Bay07_Proj2,10.51.0.104,68,2024-09-09 01:58:13,,,
Bay07_Proj3,10.51.0.105,68,2024-09-09 01:58:14,,,
Bay07_Proj4,10.51.0.106,73.4,2024-09-09 01:58:15,,,
Bay08_Proj1,10.51.0.117,62.6,2024-09-09 01:58:15,,,
Bay08_Proj2,10.51.0.118,78.8,2024-09-09 01:58:16,,,
Bay08_Proj3,10.51.0.119,68,2024-09-09 01:58:16,,,
Bay08_Proj4,10.51.0.120,64.4,2024-09-09 01:58:17,,,
Bay01_Proj1,10.51.0.19,77,2024-09-09 02:03:17,,,
Bay01_Proj2,10.51.0.20,80.6,2024-09-09 02:03:18,,,
Bay01_Proj3,10.51.0.21,80.6,2024-09-09 02:03:19,,,
Bay01_Proj4,10.51.0.22,86,2024-09-09 02:03:19,,,
Bay02_Proj1,10.51.0.33,71.6,2024-09-09 02:03:20,,,
Bay02_Proj2,10.51.0.34,68,2024-09-09 02:03:20,,,
Bay02_Proj3,10.51.0.35,71.6,2024-09-09 02:03:21,,,
Bay02_Proj4,10.51.0.36,75.2,2024-09-09 02:03:21,,,
Bay03_Proj1,10.51.0.47,66.2,2024-09-09 02:03:22,,,
Bay03_Proj2,10.51.0.48,78.8,2024-09-09 02:03:22,,,
Bay03_Proj3,10.51.0.49,64.4,2024-09-09 02:03:23,,,
Bay03_Proj4,10.51.0.50,71.6,2024-09-09 02:03:23,,,
Bay04_Proj1,10.51.0.61,66.2,2024-09-09 02:03:24,,,
Bay04_Proj2,10.51.0.62,69.8,2024-09-09 02:03:24,,,
Bay04_Proj3,10.51.0.63,71.6,2024-09-09 02:03:25,,,
Bay04_Proj4,10.51.0.64,69.8,2024-09-09 02:03:25,,,
Bay05_Proj1,10.51.0.75,73.4,2024-09-09 02:03:26,,,
Bay05_Proj2,10.51.0.76,77,2024-09-09 02:03:26,,,
Bay05_Proj3,10.51.0.77,69.8,2024-09-09 02:03:27,,,
Bay05_Proj4,10.51.0.78,75.2,2024-09-09 02:03:28,,,
Bay06_Proj1,10.51.0.89,66.2,2024-09-09 02:03:28,,,
Bay06_Proj2,10.51.0.90,73.4,2024-09-09 02:03:29,,,
Bay06_Proj3,10.51.0.91,69.8,2024-09-09 02:03:29,,,
Bay06_Proj4,10.51.0.92,69.8,2024-09-09 02:03:30,,,
Bay07_Proj1,10.51.0.103,64.4,2024-09-09 02:03:30,,,
Bay07_Proj2,10.51.0.104,68,2024-09-09 02:03:31,,,
Bay07_Proj3,10.51.0.105,69.8,2024-09-09 02:03:31,,,
Bay07_Proj4,10.51.0.106,73.4,2024-09-09 02:03:32,,,
Bay08_Proj1,10.51.0.117,62.6,2024-09-09 02:03:32,,,
Bay08_Proj2,10.51.0.118,78.8,2024-09-09 02:03:33,,,
Bay08_Proj3,10.51.0.119,68,2024-09-09 02:03:33,,,
Bay08_Proj4,10.51.0.120,64.4,2024-09-09 02:03:34,,,
Bay01_Proj1,10.51.0.19,77,2024-09-09 02:08:35,,,
Bay01_Proj2,10.51.0.20,80.6,2024-09-09 02:08:35,,,
Bay01_Proj3,10.51.0.21,80.6,2024-09-09 02:08:36,,,
Bay01_Proj4,10.51.0.22,86,2024-09-09 02:08:36,,,
Bay02_Proj1,10.51.0.33,71.6,2024-09-09 02:08:37,,,
Bay02_Proj2,10.51.0.34,68,2024-09-09 02:08:37,,,
Bay02_Proj3,10.51.0.35,71.6,2024-09-09 02:08:38,,,
Bay02_Proj4,10.51.0.36,75.2,2024-09-09 02:08:38,,,
Bay03_Proj1,10.51.0.47,66.2,2024-09-09 02:08:39,,,
Bay03_Proj2,10.51.0.48,78.8,2024-09-09 02:08:39,,,
Bay03_Proj3,10.51.0.49,66.2,2024-09-09 02:08:40,,,
Bay03_Proj4,10.51.0.50,73.4,2024-09-09 02:08:40,,,
Bay04_Proj1,10.51.0.61,66.2,2024-09-09 02:08:41,,,
Bay04_Proj2,10.51.0.62,69.8,2024-09-09 02:08:42,,,
Bay04_Proj3,10.51.0.63,71.6,2024-09-09 02:08:42,,,
Bay04_Proj4,10.51.0.64,69.8,2024-09-09 02:08:43,,,
Bay05_Proj1,10.51.0.75,75.2,2024-09-09 02:08:43,,,
Bay05_Proj2,10.51.0.76,77,2024-09-09 02:08:44,,,
Bay05_Proj3,10.51.0.77,69.8,2024-09-09 02:08:44,,,
Bay05_Proj4,10.51.0.78,75.2,2024-09-09 02:08:45,,,
Bay06_Proj1,10.51.0.89,66.2,2024-09-09 02:08:45,,,
Bay06_Proj2,10.51.0.90,73.4,2024-09-09 02:08:46,,,
Bay06_Proj3,10.51.0.91,69.8,2024-09-09 02:08:46,,,
Bay06_Proj4,10.51.0.92,69.8,2024-09-09 02:08:47,,,
Bay07_Proj1,10.51.0.103,64.4,2024-09-09 02:08:47,,,
Bay07_Proj2,10.51.0.104,69.8,2024-09-09 02:08:48,,,
Bay07_Proj3,10.51.0.105,69.8,2024-09-09 02:08:48,,,
Bay07_Proj4,10.51.0.106,73.4,2024-09-09 02:08:49,,,
Bay08_Proj1,10.51.0.117,62.6,2024-09-09 02:08:49,,,
Bay08_Proj2,10.51.0.118,78.8,2024-09-09 02:08:50,,,
Bay08_Proj3,10.51.0.119,68,2024-09-09 02:08:50,,,
Bay08_Proj4,10.51.0.120,64.4,2024-09-09 02:08:51,,,
Bay01_Proj1,10.51.0.19,77,2024-09-09 02:13:52,,,
Bay01_Proj2,10.51.0.20,80.6,2024-09-09 02:13:52,,,
Bay01_Proj3,10.51.0.21,80.6,2024-09-09 02:13:53,,,
Bay01_Proj4,10.51.0.22,84.2,2024-09-09 02:13:53,,,
Bay02_Proj1,10.51.0.33,69.8,2024-09-09 02:13:54,,,
Bay02_Proj2,10.51.0.34,68,2024-09-09 02:13:54,,,
Bay02_Proj3,10.51.0.35,71.6,2024-09-09 02:13:55,,,
Bay02_Proj4,10.51.0.36,75.2,2024-09-09 02:13:55,,,
Bay03_Proj1,10.51.0.47,66.2,2024-09-09 02:13:56,,,
Bay03_Proj2,10.51.0.48,78.8,2024-09-09 02:13:56,,,
Bay03_Proj3,10.51.0.49,64.4,2024-09-09 02:13:57,,,
Bay03_Proj4,10.51.0.50,71.6,2024-09-09 02:13:57,,,
Bay04_Proj1,10.51.0.61,66.2,2024-09-09 02:13:58,,,
Bay04_Proj2,10.51.0.62,69.8,2024-09-09 02:13:59,,,
Bay04_Proj3,10.51.0.63,71.6,2024-09-09 02:13:59,,,
Bay04_Proj4,10.51.0.64,69.8,2024-09-09 02:14:00,,,
Bay05_Proj1,10.51.0.75,73.4,2024-09-09 02:14:00,,,
Bay05_Proj2,10.51.0.76,77,2024-09-09 02:14:01,,,
Bay05_Proj3,10.51.0.77,69.8,2024-09-09 02:14:01,,,
Bay05_Proj4,10.51.0.78,75.2,2024-09-09 02:14:02,,,
Bay06_Proj1,10.51.0.89,66.2,2024-09-09 02:14:02,,,
Bay06_Proj2,10.51.0.90,73.4,2024-09-09 02:14:03,,,
Bay06_Proj3,10.51.0.91,69.8,2024-09-09 02:14:03,,,
Bay06_Proj4,10.51.0.92,69.8,2024-09-09 02:14:04,,,
Bay07_Proj1,10.51.0.103,64.4,2024-09-09 02:14:05,,,
Bay07_Proj2,10.51.0.104,68,2024-09-09 02:14:05,,,
Bay07_Proj3,10.51.0.105,68,2024-09-09 02:14:06,,,
Bay07_Proj4,10.51.0.106,73.4,2024-09-09 02:14:06,,,
Bay08_Proj1,10.51.0.117,62.6,2024-09-09 02:14:07,,,
Bay08_Proj2,10.51.0.118,78.8,2024-09-09 02:14:07,,,
Bay08_Proj3,10.51.0.119,68,2024-09-09 02:14:08,,,
Bay08_Proj4,10.51.0.120,64.4,2024-09-09 02:14:08,,,
Bay01_Proj1,10.51.0.19,77,2024-09-09 02:19:09,,,
Bay01_Proj2,10.51.0.20,78.8,2024-09-09 02:19:10,,,
Bay01_Proj3,10.51.0.21,80.6,2024-09-09 02:19:10,,,
Bay01_Proj4,10.51.0.22,86,2024-09-09 02:19:11,,,
Bay02_Proj1,10.51.0.33,69.8,2024-09-09 02:19:11,,,
Bay02_Proj2,10.51.0.34,68,2024-09-09 02:19:12,,,
Bay02_Proj3,10.51.0.35,71.6,2024-09-09 02:19:12,,,
Bay02_Proj4,10.51.0.36,75.2,2024-09-09 02:19:13,,,
Bay03_Proj1,10.51.0.47,66.2,2024-09-09 02:19:13,,,
Bay03_Proj2,10.51.0.48,78.8,2024-09-09 02:19:14,,,
Bay03_Proj3,10.51.0.49,64.4,2024-09-09 02:19:14,,,
Bay03_Proj4,10.51.0.50,71.6,2024-09-09 02:19:15,,,
Bay04_Proj1,10.51.0.61,66.2,2024-09-09 02:19:16,,,
Bay04_Proj2,10.51.0.62,69.8,2024-09-09 02:19:16,,,
Bay04_Proj3,10.51.0.63,71.6,2024-09-09 02:19:17,,,
Bay04_Proj4,10.51.0.64,69.8,2024-09-09 02:19:17,,,
Bay05_Proj1,10.51.0.75,73.4,2024-09-09 02:19:18,,,
Bay05_Proj2,10.51.0.76,77,2024-09-09 02:19:18,,,
